Period as of,Assets,Liabilities,Equity,Paid-up Capital,Revenue,Profit (Loss) from Other Activities,Net Profit,EPS (Baht),ROA (%),ROE (%),Net Profit Margin (%),Symbol
9M/2022 30 Sep 2022,49848.3,30603.79,18950.07,1525.11,22006.03,36.1,543.17,0.36,2.43,5.28,2.5,STEC
Y/E 2018 31 Dec 2018,716.82,144.63,572.19,134.00,635.10,-,73.03,0.36,17.91,20.03,11.50,STI
Y/E 2019 31 Dec 2019,785.03,159.94,625.08,134.00,727.28,-,85.50,0.32,14.31,14.28,11.76,STI
Y/E 2020 31 Dec 2020,1857.16,1004.92,712.68,134.00,1576.16,-,149.22,0.56,17.67,22.31,11.34,STI
Y/E 2021 31 Dec 2021,1946.37,1043.85,756.79,134.00,1741.88,-,144.43,0.54,11.67,19.66,9.64,STI
9M/2022 30 Sep 2022,2117.39,1121.84,835.17,301.50,1246.98,-,96.99,0.16,10.44,17.90,8.95,STI
Y/E 2018 31 Dec 2018,10839.46,3256.62,6907.86,406.3,1337.55,6.9,-629.38,-0.39,-5.49,-8.71,-48.42,STPI
Y/E 2019 31 Dec 2019,12830.09,3739.63,8466.27,406.21,3373.05,-277.2,2089.37,1.29,17.99,27.18,60.44,STPI
Y/E 2020 31 Dec 2020,12667.56,4996.58,7383.18,406.21,1982.09,-,-836.68,-0.52,-8.53,-10.56,-55.51,STPI
Y/E 2021 31 Dec 2021,11678.12,3721.62,7715.36,406.21,2617.51,140.67,320.3,0.2,4.06,4.24,10.45,STPI
9M/2022 30 Sep 2022,11417.64,3605.78,7604.5,406.21,2781.19,-87.0,-90.27,-0.06,1.0,0.14,-4.64,STPI
Y/E 2018 31 Dec 2018,10294.82,4230.15,5499.83,1600.0,7286.83,141.43,622.21,0.39,8.16,11.83,8.11,SYNTEC
Y/E 2019 31 Dec 2019,10248.16,4008.11,5641.05,1600.0,8552.59,9.58,294.17,0.18,4.42,5.28,2.89,SYNTEC
Y/E 2020 31 Dec 2020,10603.9,4437.25,5596.84,1600.0,7986.43,1.63,239.82,0.15,3.12,4.27,2.3,SYNTEC
Y/E 2021 31 Dec 2021,9865.5,3715.16,5600.81,1600.0,5310.06,-71.7,125.23,0.08,1.17,2.24,1.2,SYNTEC
9M/2022 30 Sep 2022,9965.09,4046.28,5384.91,1590.96,3543.43,-50.15,-240.06,-0.15,-2.13,-3.09,-7.66,SYNTEC
Y/E 2018 31 Dec 2018,1827.97,900.72,921.29,340.0,1666.4,1.28,113.53,0.19,9.1,16.37,6.81,TEAMG
Y/E 2019 31 Dec 2019,1886.24,958.36,922.42,340.0,1846.13,0.14,115.69,0.17,7.84,12.55,6.25,TEAMG
Y/E 2020 31 Dec 2020,2008.42,1094.1,909.15,340.0,1721.32,0.17,119.37,0.18,7.76,13.03,6.93,TEAMG
Y/E 2021 31 Dec 2021,2176.64,1160.29,1011.12,340.0,1787.49,-1.33,111.54,0.16,6.94,11.62,6.26,TEAMG
9M/2022 30 Sep 2022,2304.68,1324.59,975.08,340.0,1204.03,0.85,65.96,0.1,6.25,10.82,5.48,TEAMG
Y/E 2021 31 Dec 2021,1274.35,811.54,462.81,225.00,1605.04,-,126.02,0.56,12.79,27.23,7.85,TEKA
9M/2022 30 Sep 2022,1388.59,682.25,706.35,300.00,1507.77,-,74.54,0.29,9.96,15.05,4.94,TEKA
Y/E 2018 31 Dec 2018,7312.92,3527.95,1550.48,572.76,3421.94,6.05,157.79,0.28,9.63,10.68,16.74,TPOLY
Y/E 2019 31 Dec 2019,9814.78,5617.77,1646.68,572.76,3846.55,9.22,95.27,0.17,7.03,5.96,13.68,TPOLY
Y/E 2020 31 Dec 2020,10369.01,5921.49,1621.28,572.76,4015.28,0.19,15.55,0.03,4.47,0.95,8.49,TPOLY
Y/E 2021 31 Dec 2021,11331.91,7528.46,1321.92,572.76,4366.75,-0.93,-314.94,-0.55,0.83,-21.4,-1.92,TPOLY
9M/2022 30 Sep 2022,11887.03,8130.34,1213.0,572.76,3919.77,-22.82,-76.54,-0.13,2.11,-16.02,2.39,TPOLY
Y/E 2018 31 Dec 2018,3055.78,2352.77,732.31,770.4,2304.52,-45.43,-2040.57,-0.33,-51.97,-116.08,-88.63,TRC
Y/E 2019 31 Dec 2019,3715.63,2876.05,868.11,1198.39,3426.61,1.62,-293.28,-0.04,-7.96,-36.65,-8.61,TRC
Y/E 2020 31 Dec 2020,3679.24,3282.53,425.72,1198.39,3196.04,-2.85,-444.17,-0.05,-12.02,-68.66,-13.99,TRC
Y/E 2021 31 Dec 2021,4095.33,3727.53,399.41,1198.39,3888.26,2.56,-57.39,-0.01,-0.35,-13.91,-1.53,TRC
9M/2022 30 Sep 2022,4367.71,4064.06,301.19,1198.39,2649.8,-10.47,-97.21,-0.01,-1.16,-27.7,-3.69,TRC
Y/E 2018 31 Dec 2018,1606.15,622.8,1007.62,803.36,2322.3,81.14,148.66,0.02,7.41,15.64,6.65,TRITN
Y/E 2019 31 Dec 2019,2550.22,948.93,1577.32,963.36,1275.42,-7.72,32.36,0.0,2.1,2.5,3.02,TRITN
Y/E 2020 31 Dec 2020,2702.9,962.66,1670.5,963.36,1418.18,-8.37,36.11,0.0,2.42,2.22,2.89,TRITN
Y/E 2021 31 Dec 2021,2653.03,1003.6,1627.93,1112.76,685.32,-52.92,-400.72,-0.04,-17.9,-24.3,-68.61,TRITN
9M/2022 30 Sep 2022,2865.45,1242.37,1603.95,1112.76,617.01,36.46,1.88,0.0,-11.7,-16.47,-1.21,TRITN
Y/E 2018 31 Dec 2018,19360.33,16363.49,3013.96,616.0,9032.2,-43.06,-1979.73,-3.41,-7.88,-55.8,-22.25,TTCL
Y/E 2019 31 Dec 2019,16267.81,13940.25,2328.05,616.0,11553.63,97.79,-206.31,-0.41,0.94,-7.72,-1.63,TTCL
Y/E 2020 31 Dec 2020,13867.93,11283.26,2472.97,616.0,6984.15,458.31,210.26,0.27,3.53,8.76,2.93,TTCL
Y/E 2021 31 Dec 2021,13645.19,10709.42,2754.57,616.0,6446.6,696.2,289.13,0.4,3.86,11.06,4.54,TTCL
9M/2022 30 Sep 2022,17670.19,13905.98,3580.58,616.0,8491.94,98.26,536.13,0.82,5.48,21.42,6.33,TTCL
Y/E 2018 31 Dec 2018,29340.05,21599.98,7739.97,1081.02,12983.32,-,796.64,0.74,5.68,10.60,6.14,UNIQ
Y/E 2019 31 Dec 2019,32820.9,24675.21,8145.58,1081.02,12075.24,62.7,729.92,0.68,5.52,9.19,6.04,UNIQ
Y/E 2020 31 Dec 2020,33562.99,25517.82,8045.06,1081.02,10891.23,-,220.59,0.20,3.34,2.72,2.03,UNIQ
Y/E 2021 31 Dec 2021,41361.76,33302.97,8058.68,1081.02,11000.14,-,27.78,0.03,2.27,0.35,0.25,UNIQ
9M/2022 30 Sep 2022,45441.75,37351.62,8090.01,1081.02,8521.07,-,31.33,0.03,2.57,0.48,0.37,UNIQ
Y/E 2019 31 Dec 2019,681.42,388.89,292.27,220.00,1515.76,-,114.60,57.16,21.49,39.21,7.56,WGE
Y/E 2020 31 Dec 2020,1022.65,366.54,655.39,300.00,865.38,-,45.13,0.10,7.24,9.52,5.27,WGE
Y/E 2021 31 Dec 2021,1593.23,923.59,669.42,300.00,1190.19,-,14.04,0.02,1.80,2.12,1.18,WGE
9M/2022 30 Sep 2022,1586.02,1026.17,559.84,300.00,1304.32,-,-79.58,-0.13,-3.16,-8.25,-6.10,WGE
Y/E 2018 31 Dec 2018,1955.4,572.29,1326.28,3029.6,791.2,0.36,-79.53,-0.03,-3.52,-6.71,-10.24,7UP
Y/E 2019 31 Dec 2019,2265.29,671.11,1442.3,3029.6,1142.07,144.6,86.61,0.03,5.27,6.26,7.66,7UP
Y/E 2020 31 Dec 2020,3233.8,1098.27,1986.73,2258.66,1365.02,70.21,117.44,0.04,6.19,6.85,8.99,7UP
Y/E 2021 31 Dec 2021,5087.09,1719.53,2633.23,2571.52,799.54,357.44,280.58,0.06,7.13,12.15,34.61,7UP
9M/2022 30 Sep 2022,4485.78,1233.9,2542.68,2571.54,691.46,-3.09,-89.59,-0.02,0.31,1.32,-16.59,7UP
Y/E 2018 31 Dec 2018,1286.16,486.83,762.82,335.76,408.95,1.39,-39.27,-0.03,0.32,-5.3,-9.53,ACC
Y/E 2019 31 Dec 2019,1090.14,348.2,706.65,335.76,295.19,5.77,-56.86,-0.04,-1.68,-7.74,-18.54,ACC
Y/E 2020 31 Dec 2020,934.72,333.31,565.7,335.76,156.38,-1.05,-69.2,-0.05,-3.86,-10.88,-43.52,ACC
Y/E 2021 31 Dec 2021,914.18,388.19,492.12,335.76,128.25,-21.95,-75.78,-0.06,-3.45,-14.33,-61.0,ACC
9M/2022 30 Sep 2022,812.59,67.69,687.49,335.76,26.77,246.07,195.37,0.15,21.11,26.38,715.51,ACC
Y/E 2018 31 Dec 2018,13886.74,8315.1,5571.64,4579.0,4848.94,-10.04,546.57,0.06,7.52,9.81,11.27,ACE
Y/E 2019 31 Dec 2019,14145.18,3352.14,10793.04,5088.0,5088.17,-103.51,815.31,0.09,8.74,9.96,16.02,ACE
Y/E 2020 31 Dec 2020,16429.69,4436.86,11992.83,5088.0,6038.96,6.67,1507.64,0.15,10.84,13.23,24.97,ACE
Y/E 2021 31 Dec 2021,18740.2,5371.62,13315.33,5088.0,5739.67,167.96,1505.68,0.15,9.95,11.9,26.23,ACE
9M/2022 30 Sep 2022,19758.94,5514.6,14186.55,5088.0,5086.59,184.95,1087.95,0.11,9.02,10.73,21.38,ACE
Y/E 2018 31 Dec 2018,4934.97,3391.38,1542.08,453.23,7910.73,45.75,127.21,0.07,4.73,8.6,1.66,AGE
Y/E 2019 31 Dec 2019,4732.08,2916.46,1814.51,483.45,6209.53,25.74,272.79,0.14,7.25,16.25,4.44,AGE
Y/E 2020 31 Dec 2020,5410.62,3545.5,1864.29,483.45,7925.68,24.0,225.32,0.23,6.04,12.25,2.89,AGE
Y/E 2021 31 Dec 2021,7581.81,5098.52,2460.89,483.45,12959.6,19.64,638.03,0.66,13.26,29.5,4.94,AGE
9M/2022 30 Sep 2022,9351.66,6129.29,3201.23,543.88,13634.84,44.38,945.36,0.87,20.85,48.32,6.94,AGE
Y/E 2018 31 Dec 2018,3397.46,229.2,2465.12,700.0,2608.27,-2.64,322.71,0.12,9.34,13.64,11.38,AI
Y/E 2019 31 Dec 2019,3598.45,530.61,2424.53,700.00,3050.96,-,295.40,0.11,7.14,12.08,7.72,AI
Y/E 2020 31 Dec 2020,4160.3,492.03,2838.04,700.0,6657.95,26.0,749.46,0.27,25.57,28.48,14.06,AI
Y/E 2021 31 Dec 2021,4340.51,783.02,2664.75,700.0,7259.27,-18.82,444.06,0.63,15.24,16.14,8.35,AI
9M/2022 30 Sep 2022,3478.98,391.75,2289.49,700.0,6538.69,0.87,96.86,0.14,9.44,10.34,1.61,AI
Y/E 2018 31 Dec 2018,1974.46,134.67,1839.79,1308.07,1570.92,-,-72.32,-0.02,-3.63,-4.05,-4.60,AIE
Y/E 2019 31 Dec 2019,2326.39,643.10,1683.29,1308.07,1997.19,-,-156.50,-0.03,-6.90,-8.88,-7.84,AIE
Y/E 2020 31 Dec 2020,2557.66,385.86,2171.81,1308.07,5519.03,-,488.52,0.09,20.28,25.34,8.85,AIE
Y/E 2021 31 Dec 2021,2958.62,623.32,2335.29,1308.07,6438.39,-,423.62,0.32,15.19,18.80,6.58,AIE
9M/2022 30 Sep 2022,2264.52,214.91,2049.61,1316.24,5769.37,-,22.79,0.02,7.32,8.36,0.39,AIE
Y/E 2018 31 Dec 2018,1616.25,735.24,881.01,1074.63,1492.21,-,-279.65,-0.21,-17.95,-26.86,-18.74,AKR
Y/E 2019 31 Dec 2019,1715.09,740.05,973.85,1074.63,1649.94,-,82.55,0.06,6.44,8.90,5.02,AKR
Y/E 2020 31 Dec 2020,1529.53,466.49,1062.62,1074.63,1503.49,-,98.44,0.07,8.74,9.67,6.50,AKR
Y/E 2021 31 Dec 2021,2076.49,795.40,1280.76,1177.23,1425.57,-,89.89,0.06,6.76,7.67,6.30,AKR
9M/2022 30 Sep 2022,2298.48,973.22,1324.95,1177.23,1350.30,-,88.33,0.06,7.96,9.53,6.54,AKR
Y/E 2018 31 Dec 2018,16290.37,8437.4,6476.93,637.5,3806.6,-0.02,1050.59,1.65,10.7,16.54,29.17,BAFS
Y/E 2019 31 Dec 2019,17345.83,9482.02,6517.58,637.5,3956.17,-1.04,939.92,1.47,8.47,14.47,24.45,BAFS
Y/E 2020 31 Dec 2020,19465.76,12698.38,5493.09,637.5,1893.82,-1.81,-374.26,-0.59,-1.23,-6.23,-22.12,BAFS
Y/E 2021 31 Dec 2021,24647.2,18271.53,4806.5,637.5,1678.93,-9.19,-784.78,-1.23,-2.7,-15.24,-52.67,BAFS
9M/2022 30 Sep 2022,24026.6,18023.91,4562.69,637.5,1698.98,-3.41,-240.26,-0.38,-0.36,-9.73,-18.79,BAFS
Y/E 2018 31 Dec 2018,274317.4,171304.59,83060.46,5161.93,114845.46,5830.78,6693.73,1.3,8.11,7.95,8.91,BANPU
Y/E 2019 31 Dec 2019,257588.81,167107.96,72194.58,5161.93,90048.43,4518.34,-552.86,-0.11,3.59,-0.71,1.5,BANPU
Y/E 2020 31 Dec 2020,281647.62,197092.37,62343.95,5074.58,72929.82,7492.41,-1786.32,-0.35,1.97,-2.66,-0.78,BANPU
Y/E 2021 31 Dec 2021,365799.4,262102.27,79277.25,6766.11,134990.1,-5023.44,9851.8,1.59,8.72,13.91,11.83,BANPU
9M/2022 30 Sep 2022,478274.0,330343.1,111371.75,6766.11,192074.67,702.67,40797.23,6.03,20.82,49.04,27.61,BANPU
Y/E 2021 31 Dec 2021,12907.1,6003.01,6414.98,2532.0,14132.17,654.49,960.18,0.95,11.2,14.97,8.41,BBGI
9M/2022 30 Sep 2022,15638.67,4667.69,10409.14,3615.0,10137.69,-6.27,5.4,0.0,3.32,2.38,0.77,BBGI
Y/E 2018 31 Dec 2018,117368.62,67831.06,42714.97,1376.92,193340.41,389.0,2462.88,1.79,4.56,5.57,1.67,BCP
Y/E 2019 31 Dec 2019,127787.98,68972.94,51603.93,1376.92,190983.67,1178.62,1731.57,1.18,3.47,3.67,1.3,BCP
Y/E 2020 31 Dec 2020,148322.59,90006.17,46365.96,1376.92,136982.82,156.66,-6967.07,-5.5,-3.9,-14.22,-4.21,BCP
Y/E 2021 31 Dec 2021,201785.31,132225.98,53467.1,1376.92,200695.74,753.29,7623.79,5.25,9.51,15.27,4.91,BCP
9M/2022 30 Sep 2022,227862.62,144435.22,62858.7,1376.92,228895.07,-4298.1,12102.6,8.64,15.76,24.11,6.07,BCP
Y/E 2018 31 Dec 2018,31557.88,16415.63,15142.1,9984.14,3436.85,969.03,2219.23,1.11,8.94,15.04,64.57,BCPG
Y/E 2019 31 Dec 2019,37136.57,21581.42,15505.72,9994.46,3446.67,450.09,1801.42,0.9,6.87,11.76,52.25,BCPG
Y/E 2020 31 Dec 2020,51219.57,28670.63,22480.11,13201.89,4260.0,485.29,1912.25,0.92,6.26,10.07,44.87,BCPG
Y/E 2021 31 Dec 2021,58721.23,31493.06,27159.66,14470.06,4740.56,544.4,2010.82,0.74,5.4,8.1,42.41,BCPG
9M/2022 30 Sep 2022,57050.05,27536.31,29443.83,14479.82,4221.52,2042.85,2334.13,0.81,6.99,9.35,55.32,BCPG
Y/E 2018 31 Dec 2018,100636.04,72896.92,19253.46,5213.8,37044.83,176.38,1862.81,0.71,6.4,9.83,8.03,BGRIM
Y/E 2019 31 Dec 2019,121692.8,83015.54,28144.4,5213.8,44421.39,238.9,2331.15,0.88,6.16,9.84,8.95,BGRIM
Y/E 2020 31 Dec 2020,130695.88,91391.8,27470.27,5213.8,44337.67,-275.61,2174.76,0.68,5.69,7.82,8.47,BGRIM
Y/E 2021 31 Dec 2021,149197.56,108382.05,29471.16,5213.8,46816.24,800.15,2275.7,0.72,5.72,7.99,7.3,BGRIM
9M/2022 30 Sep 2022,174760.7,130937.14,31509.87,5213.8,48557.53,261.11,-699.2,-0.38,3.42,-1.65,-1.46,BGRIM
Y/E 2018 31 Dec 2018,51566.13,10384.99,40409.65,30510.22,6768.5,4786.23,3812.67,1.25,8.81,9.6,56.91,BPP
Y/E 2019 31 Dec 2019,48807.67,8991.84,39078.55,30510.22,6402.14,3451.09,2968.93,0.97,6.96,7.47,46.9,BPP
Y/E 2020 31 Dec 2020,49562.78,7585.0,41108.73,30510.22,6526.59,3713.45,3702.48,1.21,8.8,9.23,57.96,BPP
Y/E 2021 31 Dec 2021,74866.77,25287.46,45635.17,30477.32,7818.33,3590.03,3127.03,1.03,5.6,7.21,40.6,BPP
9M/2022 30 Sep 2022,84100.81,27569.45,51586.57,30477.32,13735.47,6663.15,5918.74,1.94,11.27,12.91,47.72,BPP
Y/E 2018 31 Dec 2018,3654.64,2.82,-,-,264.18,-19.47,-,-,-,-,-,BRRGIF
Y/E 2019 31 Dec 2019,3362.04,3.01,-,-,244.18,-24.22,-,-,-,-,-,BRRGIF
Y/E 2020 31 Dec 2020,3038.92,1.89,-,-,209.84,-177.59,-,-,-,-,-,BRRGIF
Y/E 2021 31 Dec 2021,3011.60,1.97,-,-,154.47,28.00,-,-,-,-,-,BRRGIF
9M/2022 30 Sep 2022,2625.05,2.17,-,-,110.97,-133.24,-,-,-,-,-,BRRGIF
Y/E 2018 31 Dec 2018,62503.1,30981.1,18333.43,7370.0,9114.8,8.33,599.07,0.08,4.08,3.32,14.97,CKP
Y/E 2019 31 Dec 2019,64190.93,28644.23,23548.68,8129.38,8840.21,435.4,768.9,0.1,3.56,3.67,12.25,CKP
Y/E 2020 31 Dec 2020,67038.45,32000.46,23774.41,8129.38,7177.49,418.22,404.71,0.05,1.8,1.71,2.75,CKP
Y/E 2021 31 Dec 2021,68977.35,32847.28,24833.76,8129.38,9369.49,1527.74,2179.01,0.27,5.71,8.97,29.36,CKP
9M/2022 30 Sep 2022,69627.39,32618.61,25598.65,8129.38,8736.68,2021.5,2364.39,0.29,5.86,9.93,31.4,CKP
Y/E 2020 31 Dec 2020,1941.51,1350.74,590.48,480.0,2520.59,-7.12,95.05,29.62,13.68,16.1,7.93,CV
Y/E 2021 31 Dec 2021,3312.33,1354.99,1953.01,640.0,1735.87,-1.43,147.17,0.14,7.7,11.57,8.64,CV
9M/2022 30 Sep 2022,4287.5,2232.37,1974.11,640.0,1538.33,-5.28,42.6,0.03,3.98,4.56,2.49,CV
Y/E 2018 31 Dec 2018,5906.88,2716.09,3174.92,730.34,4151.37,189.59,148.6,0.2,4.0,4.79,3.51,DEMCO
Y/E 2019 31 Dec 2019,5984.62,2813.93,3170.69,730.34,2937.98,211.5,34.96,0.05,2.07,1.1,1.17,DEMCO
Y/E 2020 31 Dec 2020,7374.57,2755.07,4619.5,730.34,2497.12,138.89,55.2,0.08,2.93,1.42,2.21,DEMCO
Y/E 2021 31 Dec 2021,6948.7,2603.43,4344.74,730.34,2731.37,162.42,100.86,0.14,2.52,2.25,3.69,DEMCO
9M/2022 30 Sep 2022,6968.05,2775.96,4191.57,730.34,1320.85,76.54,-152.18,-0.21,-0.14,-1.94,-11.52,DEMCO
Y/E 2018 31 Dec 2018,59207.59,39689.97,18138.66,373.0,12490.22,159.77,4975.21,1.33,11.91,30.33,40.52,EA
Y/E 2019 31 Dec 2019,70219.69,45353.23,23364.51,373.0,14954.54,145.82,6081.62,1.63,11.44,29.31,40.3,EA
Y/E 2020 31 Dec 2020,78483.77,48856.89,27811.52,373.0,17196.26,-61.81,5204.57,1.4,8.97,20.34,29.35,EA
Y/E 2021 31 Dec 2021,85476.25,50374.53,32501.02,373.0,20558.1,92.82,6100.07,1.64,8.93,20.23,28.84,EA
9M/2022 30 Sep 2022,95663.29,56818.05,36575.24,373.0,17877.42,136.7,5432.04,1.46,9.33,21.73,28.55,EA
Y/E 2018 31 Dec 2018,20140.90,9335.75,10624.66,1663.73,4255.32,-,1117.52,0.67,7.81,10.71,26.55,EASTW
Y/E 2019 31 Dec 2019,21180.88,10167.06,10839.60,1663.73,4729.27,-,1044.79,0.63,7.18,9.74,22.33,EASTW
Y/E 2020 31 Dec 2020,22853.78,11784.58,10901.61,1663.73,4248.30,-,764.15,0.46,5.25,7.03,18.28,EASTW
Y/E 2021 31 Dec 2021,23688.87,12261.91,11266.86,1663.73,4726.73,-,1061.60,0.64,6.48,9.58,22.70,EASTW
9M/2022 30 Sep 2022,24213.93,12762.86,11295.93,1663.73,3383.68,-,629.23,0.38,5.32,7.27,18.77,EASTW
Y/E 2018 31 Dec 2018,21741.37,1.84,-,-,1125.49,937.27,-,-,-,-,-,EGATIF
Y/E 2019 31 Dec 2019,21118.04,2.37,-,-,1095.21,-49.06,-,-,-,-,-,EGATIF
Y/E 2020 31 Dec 2020,21927.66,2.18,-,-,1186.86,1394.70,-,-,-,-,-,EGATIF
Y/E 2021 31 Dec 2021,20242.16,1.97,-,-,969.55,-1066.54,-,-,-,-,-,EGATIF
9M/2022 30 Sep 2022,19116.18,2.41,-,-,679.83,-424.78,-,-,-,-,-,EGATIF
Y/E 2018 31 Dec 2018,206427.81,105577.46,100239.38,5264.65,38174.19,19971.84,21072.88,40.03,12.82,22.6,55.32,EGCO
Y/E 2019 31 Dec 2019,208522.6,103416.2,104490.41,5264.65,41055.02,6105.1,13059.24,24.81,7.34,12.76,31.97,EGCO
Y/E 2020 31 Dec 2020,214437.69,111603.45,102243.2,5264.65,37782.97,5698.85,8733.03,16.59,6.62,8.45,23.18,EGCO
Y/E 2021 31 Dec 2021,241932.0,127895.31,113440.87,5264.65,38136.94,6100.82,4103.84,7.8,5.71,3.81,10.8,EGCO
9M/2022 30 Sep 2022,273054.45,142490.59,130223.78,5264.65,44200.77,8374.63,2946.45,5.6,6.42,3.19,6.6,EGCO
Y/E 2018 31 Dec 2018,10599.33,7319.07,2574.09,921.57,1184.66,240.45,342.77,0.41,7.09,14.64,34.5,EP
Y/E 2019 31 Dec 2019,11555.42,7658.04,3299.52,921.57,1560.71,933.41,651.72,0.71,12.02,22.19,57.78,EP
Y/E 2020 31 Dec 2020,8381.96,3520.39,3937.22,932.51,1194.83,1807.66,1135.31,1.23,19.07,31.38,130.99,EP
Y/E 2021 31 Dec 2021,11529.94,6259.53,4300.57,932.51,2856.71,227.58,1007.51,1.08,21.89,24.46,42.16,EP
9M/2022 30 Sep 2022,10103.61,5274.50,3805.60,932.51,1119.59,-,174.00,0.19,17.89,28.79,20.34,EP
Y/E 2018 31 Dec 2018,61749.98,35917.88,25824.66,17075.18,200864.05,383.62,2225.16,0.64,4.79,8.24,1.11,ESSO
Y/E 2019 31 Dec 2019,66242.63,44124.7,22110.5,17075.18,169430.07,379.99,-3065.7,-0.89,-5.69,-12.79,-1.81,ESSO
Y/E 2020 31 Dec 2020,61378.09,47018.56,14352.09,17075.18,126738.85,285.1,-7911.07,-2.29,-15.05,-43.39,-6.24,ESSO
Y/E 2021 31 Dec 2021,70054.6,50846.27,19200.9,17075.18,172907.15,226.82,4443.21,1.28,8.83,26.48,2.57,ESSO
9M/2022 30 Sep 2022,95817.1,67035.62,28774.05,17075.18,199380.76,234.13,11071.7,3.2,18.29,50.3,5.55,ESSO
Y/E 2019 31 Dec 2019,2599.91,1706.41,882.86,820.00,370.44,-,57.55,0.04,4.25,6.52,15.33,ETC
Y/E 2020 31 Dec 2020,4025.40,1456.35,2551.84,1120.00,673.10,-,194.48,0.10,8.51,11.32,29.90,ETC
Y/E 2021 31 Dec 2021,3969.62,1207.15,2739.59,1120.00,749.16,-,187.36,0.08,6.47,7.08,25.77,ETC
9M/2022 30 Sep 2022,3895.51,975.50,2892.71,1120.00,599.30,-,153.13,0.07,6.22,6.40,26.29,ETC
Y/E 2018 31 Dec 2018,64439.02,22089.95,39991.97,14983.01,25300.76,580.14,3359.19,2.24,7.47,8.55,15.37,GPSC
Y/E 2019 31 Dec 2019,252016.62,141840.91,100893.03,28197.29,67480.77,1154.48,4060.8,2.25,7.2,5.76,8.89,GPSC
Y/E 2020 31 Dec 2020,256656.32,144788.95,102901.39,28197.29,70982.68,925.67,7508.13,2.66,5.31,7.37,11.96,GPSC
Y/E 2021 31 Dec 2021,270379.12,152631.58,108334.28,28197.29,78148.08,1442.78,7318.58,2.6,4.89,6.93,10.03,GPSC
9M/2022 30 Sep 2022,292860.36,175721.72,107286.96,28197.29,90728.05,944.09,1327.86,0.47,2.52,2.35,1.75,GPSC
Y/E 2018 31 Dec 2018,1130.78,271.09,749.3,818.02,140.77,2.12,-2.58,0.0,0.76,-0.37,0.89,GREEN
Y/E 2019 31 Dec 2019,1079.70,230.62,751.69,818.02,124.95,-,4.01,0.00,2.19,0.53,9.95,GREEN
Y/E 2020 31 Dec 2020,1061.87,304.32,757.55,818.03,144.35,-,6.83,0.01,2.23,0.91,8.97,GREEN
Y/E 2021 31 Dec 2021,1149.35,344.70,804.65,818.03,148.25,-,47.10,0.06,5.38,6.03,31.77,GREEN
9M/2022 30 Sep 2022,1089.19,316.88,772.32,818.03,123.51,-,-32.34,-0.04,-1.91,-4.23,-26.18,GREEN
Y/E 2018 31 Dec 2018,123668.66,78880.41,36536.94,10666.5,17479.01,2750.22,3028.13,1.42,5.4,8.52,23.69,GULF
Y/E 2019 31 Dec 2019,134277.54,85237.6,38427.11,10666.5,30343.36,4208.92,4886.56,2.29,7.79,13.04,23.62,GULF
Y/E 2020 31 Dec 2020,245580.51,173500.69,64027.15,11733.15,33370.44,2328.31,4282.11,0.39,5.22,8.36,18.41,GULF
Y/E 2021 31 Dec 2021,362673.85,255164.71,96595.95,11733.15,49983.74,1811.26,7670.3,0.65,4.97,9.55,18.34,GULF
9M/2022 30 Sep 2022,421620.77,299210.19,106843.21,11733.15,67470.34,1090.97,6011.92,0.51,4.91,9.24,9.82,GULF
Y/E 2018 31 Dec 2018,35624.75,26124.7,8910.51,1854.66,6460.89,122.59,1090.24,0.15,6.31,12.04,18.24,GUNKUL
Y/E 2019 31 Dec 2019,39041.54,27708.63,10712.21,2220.63,7175.37,288.55,2147.33,0.24,8.5,21.89,30.97,GUNKUL
Y/E 2020 31 Dec 2020,46032.16,33556.84,12349.84,2220.63,8996.95,2023.11,3412.34,0.39,10.48,29.59,38.07,GUNKUL
Y/E 2021 31 Dec 2021,42485.35,29202.13,13121.61,2220.63,9868.13,217.84,2229.27,0.25,7.7,17.5,22.82,GUNKUL
9M/2022 30 Sep 2022,33585.35,18890.0,14627.54,2220.63,5963.77,2305.43,2821.13,0.32,12.07,24.22,47.36,GUNKUL
Y/E 2018 31 Dec 2018,9480.59,11537.35,-2116.54,2020.84,864.97,-,-818.02,-0.41,-2.75,-,-94.57,IFEC
Y/E 2019 31 Dec 2019,8875.09,11790.15,-2974.86,2020.84,730.01,-,-865.72,-0.43,-4.96,-,-118.59,IFEC
Y/E 2020 31 Dec 2020,7081.52,12008.57,-4974.73,2020.84,543.00,-,-959.37,-0.46,-6.13,-,-177.56,IFEC
Y/E 2021 31 Dec 2021,6566.59,12300.19,-5781.08,2020.84,416.59,-18.77,-829.10,-0.39,-5.54,-,-199.07,IFEC
9M/2022 30 Sep 2022,6280.06,12583.43,-6349.71,2020.84,288.66,-8.87,-598.65,-0.30,-5.37,-,-207.79,IFEC
Y/E 2018 31 Dec 2018,182445.66,95066.03,87286.11,20434.42,281011.89,1341.96,7734.99,0.38,5.93,8.85,2.76,IRPC
Y/E 2019 31 Dec 2019,177850.39,94448.28,83255.73,20434.42,241623.85,2008.64,-1174.04,-0.06,0.0,-1.38,-0.47,IRPC
Y/E 2020 31 Dec 2020,173490.55,97824.63,75526.4,20434.42,175281.72,942.37,-6151.7,-0.3,-3.29,-7.75,-3.5,IRPC
